Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
540596,ERIS,A,1165.00,1210.05,1165.00,1197.55,20091,239.44,1865
542665,NEOGEN,B,1555.00,1695.00,1555.00,1678.75,11402,189.83,1859
543336,CHEMPLASTS,A,526.45,539.40,516.20,518.40,36474,191.08,1849
534809,PCJEWELLER,B,91.59,94.18,90.73,91.40,148812,137.59,1847
515055,ANANTRAJ,A,537.05,544.05,515.00,519.60,45597,241.49,1845
507878,UNITECH,Z,10.00,10.12,9.66,10.01,1748441,173.64,1844
533427,VMS,XT,63.89,64.50,62.70,64.20,303574,193.91,1842
533284,RPPINFRA,B,213.00,221.15,213.00,215.80,55469,120.23,1842
532859,HGS,B,744.00,777.45,740.00,744.90,25959,195.43,1841
542285,AXITA,B,26.44,27.09,25.87,26.03,521998,136.84,1840
540190,FRANKLININD,XT,3.60,3.63,3.52,3.61,1436850,51.49,1840
541770,CREDITACC,A,1273.35,1276.90,1242.55,1252.30,11541,144.88,1837
500048,BEML,A,4045.30,4113.50,4005.90,4019.75,9769,395.68,1827
500302,PEL,A,951.00,977.00,950.00,967.95,30133,290.70,1823
536659,PVVINFRA,XT,15.86,15.86,14.73,14.80,753690,113.07,1822
508814,COSMOFIRST,B,975.00,985.90,920.95,972.75,19679,188.27,1817
532443,CERA,A,10740.50,10795.30,10315.00,10402.10,2947,311.37,1814
500003,AEGISLOG,A,731.90,766.80,731.90,754.70,25538,191.76,1814
500101,ARVIND,A,389.85,389.85,376.65,379.60,63588,242.64,1811
543412,STARHEALTH,A,595.00,596.40,575.05,578.85,30435,176.56,1806
544133,EXICOM,T,415.00,430.00,410.00,424.30,65969,278.78,1805
532497,RADICO,A,1704.20,1707.60,1668.15,1694.50,11957,201.55,1804
512531,STCINDIA,B,207.65,210.75,201.60,202.35,54259,111.34,1803
511196,CANFINHOME,A,786.45,807.95,786.45,803.75,28853,231.17,1802
543283,BARBEQUE,B,561.00,562.25,548.30,559.65,12294,67.85,1801
519105,AVTNPL,B,90.00,93.55,86.01,86.53,128403,114.61,1793
532719,BLKASHYAP,B,112.90,116.00,110.95,112.95,247925,279.87,1788
532154,JOHNPHARMA,XT,1.09,1.09,1.08,1.08,1402778,15.26,1787
532424,GODREJCP,A,1464.00,1474.75,1441.65,1444.85,13282,193.95,1785
531540,MAINFRA,XT,32.70,32.70,32.55,32.70,229707,75.11,1784
538734,CEINSYSTECH,X,551.00,653.00,551.00,647.50,124116,788.31,1778
532440,MPSLTD,B,1974.15,2210.15,1947.75,2197.75,9523,202.98,1775
522165,INDSILHYD,X,55.48,64.77,55.48,63.23,525230,322.44,1774
533274,PRESTIGE,A,1701.45,1724.70,1667.65,1718.25,19268,327.71,1773
532305,INDSWFTLAB,B,172.45,175.95,170.85,173.00,48019,83.14,1773
539470,SHREEGANES,X,1.19,1.19,1.16,1.17,1193046,13.99,1771
540767,NAM-INDIA,A,653.45,661.00,632.15,659.40,36995,240.34,1770
534732,CASPIAN,X,22.94,23.46,21.80,23.43,510691,118.31,1765
531357,MERCURYEV,B,74.65,77.50,70.50,76.21,732244,543.88,1762
505744,FMGOETZE,B,469.05,481.50,465.00,470.80,32506,153.83,1761
505255,GMMPFAUDLR,A,1369.95,1369.95,1333.50,1341.15,17363,233.13,1760
539289,AURUM,B,199.55,205.50,191.80,195.65,38795,76.95,1759
500058,BIHSPONG,X,23.30,24.25,22.00,23.83,696743,165.96,1757
539871,THYROCARE,B,814.95,819.00,800.40,805.50,14029,113.61,1756
532848,DELTACORP,A,130.55,130.55,126.70,128.15,90711,116.16,1755
542579,AGOL,T,7.31,7.35,7.12,7.20,744419,53.70,1754
531637,PRAVEG,B,736.00,760.00,731.80,754.80,41751,311.10,1743
523319,BALMLAWRIE,A,272.75,275.70,268.05,269.10,133514,363.88,1742
590066,KCP,B,225.40,227.50,222.05,223.40,51293,115.23,1742
505343,MONOT,Z,0.82,0.82,0.80,0.80,2108684,17.01,1739
506401,DEEPAKNTR,A,3100.35,3146.30,3058.00,3075.60,10201,316.32,1737
513375,CARBORUNIV,A,1540.30,1577.35,1521.00,1524.65,9231,142.05,1734
543978,RATNAVEER,B,196.25,196.25,185.05,187.80,52545,98.84,1733
532805,REDINGTON,A,190.00,191.50,188.55,190.20,60199,114.58,1732
544008,MAXESTATES,B,519.00,535.95,516.55,529.95,76532,399.86,1719
544210,EMCURE,B,1292.50,1299.95,1272.20,1286.20,12135,155.98,1718
532626,POCL,B,1554.00,1558.00,1401.00,1410.75,12307,180.94,1715
543220,MAXHEALTH,A,889.65,894.40,876.55,882.75,23789,210.57,1706
507526,ASALCBR,B,754.55,809.90,754.55,799.55,17166,135.97,1706
532684,EKC,B,162.25,163.90,156.60,157.40,64728,103.92,1691
509820,HUHTAMAKI,B,422.00,440.00,413.55,432.95,43277,185.10,1690
506022,PRAKASH,A,181.85,181.85,176.05,178.05,95349,170.01,1690
544095,EPACK,B,244.10,245.30,240.80,241.45,63643,153.89,1682
500500,HINDMOTORS,B,33.63,33.83,32.70,32.82,246130,81.40,1681
533272,JWL,A,558.35,565.45,550.00,553.60,39445,218.69,1676
