,Symbol,LTP,2_day_rise,5_day_rise,1_month_rise,2_month_rise,3_month_rise,6_month_rise,1_year_rise,P/E Ratio (TTM),ROE,Debt-to-Equity,Price-to-Book Ratio,10_day_rise
715,ZTECH.NS,298.25,8.731320916101467,7.342088698347614,-0.6330148043046918,145.47325102880657,184.04761904761904,184.04761904761904,184.04761904761904,,,,,10.75009785343448
699,MARINE.NS,268.04998779296875,-0.24191454578783617,-5.23246172571425,35.92108851853729,145.0182669600427,190.09738459570775,140.18816438884343,288.19692389013585,150.74628,0.109560005,37.979,15.785361,13.17766928629402
613,POCL.NS,1502.9000244140625,6.838705948773682,2.1269400208886564,61.03938113196491,123.99582637615649,114.56206698870783,96.22665837670237,209.42968635822191,44.19446,,28.827,4.8668866,25.356576345769422
2377,FLEXITUFF.NS,71.37000274658203,-3.969317761511819,-5.8939791760977815,111.0913926284617,121.37096473617832,104.4985662641305,61.83674652157556,116.9300894726187,,,,,6.745441362637694
2466,SABTNL.NS,413.4500122070313,4.02566348184325,6.094431423159058,51.45798064596695,120.54195845461606,239.58933240823927,10.253336588541682,185.13793945312506,,,495.871,97.229614,14.815330519094603
2373,RELIABLE.NS,106.37999725341795,-3.9718374926550504,-5.900049197951908,118.43941598944038,119.79337582569667,83.41378836796198,68.8571384974888,85.1697055538472,19.51462,0.09315,64.078,1.908675,14.325624679717128
2400,SUMEETINDS.NS,4.690000057220459,-4.089975761264693,-6.012018590343159,80.38462420187085,115.13761071562428,113.18181616215671,6.5909080810783545,103.91305019364253,,,,,-0.6355875912014246
2266,KAVVERITEL.NS,32.459999084472656,-3.992908115895034,-5.940305235487099,33.91088857661038,111.74167805622136,70.84210044459293,96.72726717862216,298.2822159975305,,-0.026889998,,1.3066918,1.755484240247712
2391,LCCINFOTEC.NS,6.460000038146973,3.858525016894372,5.901641625289317,48.50575125915157,111.11111630541576,240.00000627417322,111.80328325057863,279.99999158522684,,-1.8306,118.825,39.31035,14.134279369294383
447,EFFWA.NS,338.3500061035156,-0.250591413008801,4.736114808446336,106.87863025990882,106.87863025990882,106.87863025990882,106.87863025990882,106.87863025990882,,,,,21.38116810888453
1497,WINDMACHIN.NS,161.02000427246094,0.02485311590490413,-4.980527621279499,-7.491665787104911,105.46127169745894,107.50000958590182,100.52303630508531,156.4012838035788,,-0.02712,12.904,4.40844,-4.812011831063669
1523,PRITIKA.NS,100.3000030517578,-0.04982104945042785,-5.01893513157781,76.89594656463638,104.90296524713429,64.42623451107836,19.6897367531228,149.81319860500844,,,,,4.370452283376185
780,BBOX.NS,548.0999755859375,-3.034060046716055,-1.932375801816705,37.42007451384776,102.37039691218534,157.20317216682392,93.469819697444,140.50021512281953,64.42542,0.35439,148.102,18.41241,15.865128364788049
1754,KAYA.NS,557.4000244140625,4.060487073400569,-1.1351478392114405,-7.753409281909391,99.07143729073661,63.030135818845366,55.32952903260427,50.06057506962474,,,,,-7.331666764079385
1140,KERNEX.NS,701.9500122070312,7.751937839238395,8.167038909476386,65.00940815195257,97.76024456018493,46.744016567468854,6.203192260046052,104.97882528404205,,,26.358,12.77335,26.00072571691387
1598,INSPIRISYS.NS,178.8300018310547,2.0020501712305516,-3.099431658691941,47.41571628890543,97.10128426594893,54.898230020072326,46.521915083622055,119.02020635526216,40.91049,,300.034,21.636684,7.154414575512812
2031,RILINFRA.NS,62.0,-0.8792953537474629,-5.846618926854091,-30.803570250163254,94.96855813676746,93.44774251447473,-19.06005060699006,-42.27188163953555,,,,,-11.174788983854322
901,NPST.NS,2910.89990234375,3.6313148757950064,8.133507499890943,62.733747161076174,93.77579529761933,106.76208067782602,132.89061888836616,559.0716911821863,,,,,6.542466789492807
2405,VERA.NS,90.3000030517578,10.121954941168047,8.20851570283958,74.66151202939307,92.12766606756978,73.65385202261115,73.65385202261115,64.18182373046872,,,,,13.584909499066415
1723,LEMERITE.NS,192.3500061035156,0.28675862513378797,-0.38839978057688185,31.341761769715312,91.96607980225092,159.23182481757823,227.40426570811164,306.2302266147771,,,,,1.6649097283733731
936,HUBTOWN.NS,278.32000732421875,-2.766903011585251,2.094575503275314,60.52601193103851,91.24579788274733,112.70156235532721,80.49287472919855,479.8333485921224,,-0.06524,71.645,1.6384208,20.203859114859725
1244,VERANDA.NS,295.1499938964844,-1.7149497521907517,-1.8130446095714534,6.721867407433749,90.88733877710206,72.14931417326598,21.962807395241477,40.68159656969626,,,154.714,5.116262,4.897465621221501
2436,UEL.NS,406.25,10.229280546933296,15.74074074074074,47.71653560781881,88.5063386176801,920.7286627827681,-72.91666666666667,-70.27438935887449,244.72678,0.41708001,20.762,52.906082,27.60711731764318
2173,GLOBE.NS,5.380000114440918,-4.099821989298278,-6.108200758595489,32.51231995726787,88.11189901322214,68.12500107102095,62.16771952448417,143.2515705459928,15.1470585,0.072680004,61.239,0.8084773,-13.085620925555553
1980,WOMANCART.NS,292.1499938964844,10.24528071565448,12.322178793111357,16.976974533126878,87.27563711313101,131.77309545682732,131.22279178841646,137.81033579583405,,,,,-7.253970191592262
451,WALCHANNAG.NS,395.9500122070313,-0.2519208890913058,-5.229769321286997,25.56687567558362,86.7160316728889,113.62287519208297,82.42340780461217,242.51731611888476,,,66.573,5.95019,4.208343276016641
315,SHAKTIPUMP.NS,4654.75,-4.525780587509899,-0.6827759108123966,8.523835864455858,85.9668397922493,124.66635039212622,217.51364256480218,549.3339134447635,61.042236,,11.225,11.417038,6.995910824020646
25,MTNL.NS,70.06999969482422,-1.7664406335146148,-6.685306815674063,65.02590957532159,85.7635138579088,103.39622102477271,45.97916603088379,244.32431637017785,,,,,-24.01865238850842
2297,SUPREMEENG.NS,2.0799999237060547,3.9999961853027344,5.583750939000074,70.49179302688208,85.71427811165249,107.99999237060547,73.33332008785725,144.7058665133682,,,,,12.432426859463526
1890,GICL.NS,76.25,-1.3583480081556547,1.9384985148180582,49.80353185496956,85.0728121068119,73.29545454545455,10.667631801663209,85.97560975609755,,,,,22.0
301,REFEX.NS,284.8500061035156,14.650839043019346,7.856872215242173,37.868450347046775,82.81882457279112,92.01212968252463,132.4167850667049,101.70655972332342,31.567747,,46.173,6.8697453,13.287465533609753
305,OPTIEMUS.NS,491.25,9.654017857142858,3.7705970286553874,30.895288030489912,82.6547602540533,89.5986061087686,65.62710380678485,99.4114015948423,79.704544,0.14042,38.443,10.59026,9.666254406296684
199,BALUFORGE.NS,534.5499877929688,11.503962160748957,8.74783868738711,36.24314501780224,81.91253247912503,96.77894342109417,94.02903368165835,94.02903368165835,53.5,,,10.9044075,13.867285950187135
841,AWHCL.NS,790.2999877929688,1.7641015500540955,-1.563179694165089,31.126592299038435,81.51125376011403,68.07740690678585,57.52441071634734,145.66364868036382,25.69223,,62.2,3.8244655,-2.2692185824627846
2338,SPYL.NS,7.199999809265137,3.896103717382669,5.882347166332156,49.06832138706502,81.36019539993876,152.6315807085399,206.38298304062633,1500.0000000000002,1.5956522,,11.606,34.78673,14.285707798134098
1457,VILAS.NS,453.5,2.6598754951895867,-1.4451796120158944,-10.96495640213366,79.28444572892947,100.8859357696567,100.8859357696567,100.8859357696567,,,,,-8.697405102745387
2270,21STCENMGM.NS,91.56999969482422,4.033177899510243,6.106600760959143,22.174787756241294,77.77131174268426,81.68650183037343,109.54232973945793,348.8725559173388,1.7178218,,,1.9152377,14.821316231754507
333,NEULANDLAB.NS,11149.599609375,1.7183223571672939,0.6485938875222856,44.72481320580218,77.67437343864454,56.007184382269585,64.6900677400505,188.8160641997298,44.3155,,7.437,11.587961,32.464460447480405
2340,BLUECHIP.NS,5.869999885559082,-4.084967396648271,-6.0800018310546875,24.893619654782057,77.34138933639393,77.87878698116053,130.19607824804416,266.8749873805793,,-0.86135,,18.741497,-2.4916959442306466
1069,RPPINFRA.NS,209.27999877929688,1.879077326822362,-0.26211840392616936,46.002514389611164,76.42892761214941,85.12162152130328,37.00818250690467,235.11608682556292,14.411022,0.14472,9.635,1.9356593,6.775509581273916
2085,AGARWALFT.NS,92.0,-3.513370244080618,-0.9154534066664558,23.407104270843803,75.74021524657667,40.99616858237548,46.03174603174603,155.910982051611,,,,,9.523809523809524
1851,NIRMAN.NS,361.6000061035156,2.190193547073956,-2.900104180982025,-13.523852354035439,74.81266397572996,64.4010052833081,30.895929811227376,164.32748394508843,,,,,-0.5090125303013793
608,SURAJEST.NS,687.2999877929688,0.6959197252876915,-4.001679436493643,0.5853944199413551,74.6854661250627,79.96857784168081,104.52314023483778,105.47084836860053,39.917248,,83.259,6.351519,-0.936869431300655
1310,AIMTRON.NS,485.3999938964844,-0.3080714764434567,-5.287806068978658,-26.632404502948155,74.00966935116317,91.81979373349489,91.81979373349489,91.81979373349489,,,,,-10.829426716883647
1137,KRITI.NS,240.07000732421875,4.976170694531444,6.98307212742747,22.422233478918223,73.43592725034347,105.98026687104239,59.250419452218075,113.20604847023523,41.797153,,84.637,7.682245,3.069727465001643
231,SPAL.NS,988.3499755859376,25.600450492027594,15.024728028622357,21.943241898326665,71.94676349609131,65.19304625624342,59.29566542681376,117.6502889895658,25.321768,0.12585,26.864,2.9746938,12.153188718971643
1880,ENFUSE.NS,189.0,0.07942488304828875,-4.4730886178923095,-8.474576271186441,71.27322393604169,62.092626477990734,63.70723689558108,63.70723689558108,,,,,-8.296945947166526
1976,CONTI.NS,44.5,-8.152736224435525,-12.745098039215685,74.85264701760381,71.15384615384616,85.41666666666667,134.21052631578948,48.08652622233122,,,,,-1.0011140273672063
1814,DCI.NS,376.6499938964844,-5.5186254450847025,-10.235941749828157,26.32478845932803,70.72341684008191,80.12911664384298,62.875673036317565,148.86024361232938,45.84122,0.28982002,74.348,11.034474,-1.066427897801261
892,OMINFRAL.NS,215.9499969482422,-0.2540429800267032,-5.243526664450058,22.82447272910313,69.53210991095987,73.80281444526534,54.525936993375446,271.6867514969569,41.739132,,13.985,2.693187,0.2088152892075116
679,SAHAJSOLAR.NS,606.5999755859375,-4.562618173996295,2.857138717412039,68.9222960946084,68.9222960946084,68.9222960946084,68.9222960946084,68.9222960946084,,,,,26.08604612144169
378,INDIACEM.NS,368.0499877929688,-0.02716449957179346,-1.0751243465235223,32.870031694212564,68.71418661034403,81.43947582883021,48.88753735301612,71.10645158040904,,-0.03968,46.76,2.0884275,-1.2873858742043771
1798,KNAGRI.NS,216.5,-7.081545064377682,-11.63265306122449,-19.695847515347364,68.48249027237354,77.9695826423343,54.698109839951165,85.35958419800893,,,,,-15.4296875
99,DEEPAKFERT.NS,1012.5,8.777397215136535,5.282311235120658,31.374073434945608,68.46921797004991,87.58684576192682,96.48748767422647,83.57356946947384,24.362135,,76.181,2.3765051,10.144139243948871
1779,DIACABS.NS,1516.800048828125,-1.4008468228827067,-5.078375720355809,22.09120446215221,68.0851072464231,70.50360729035322,435.30969336700696,677.8461788862179,286.25235,,,,11.578639222248514
